feature,importance
MagpieData avg_dev CovalentRadius,0.02900434981320235
MagpieData mean AtomicWeight,0.028780395469912776
MagpieData mean Electronegativity,0.028723390025910442
MagpieData avg_dev MeltingT,0.02748853596398636
MagpieData mean MeltingT,0.027236704235361096
MagpieData avg_dev MendeleevNumber,0.026317279531624757
MagpieData avg_dev AtomicWeight,0.026256827357090614
MagpieData avg_dev Number,0.025912101330281524
MagpieData mean Number,0.02563718104097882
MagpieData avg_dev NUnfilled,0.025438703352838855
MagpieData mean GSvolume_pa,0.025276945080674684
MagpieData avg_dev GSvolume_pa,0.024791078336740484
MagpieData mean MendeleevNumber,0.024264408183213373
MagpieData avg_dev Electronegativity,0.024014549223510335
MagpieData mean CovalentRadius,0.0230750148851652
MagpieData avg_dev SpaceGroupNumber,0.022453654148583264
MagpieData mean NValence,0.022019760294490667
MagpieData mean Column,0.02194095102914741
MagpieData avg_dev NsValence,0.021564712024782325
MagpieData mean SpaceGroupNumber,0.02074464706187586
MagpieData avg_dev NsUnfilled,0.020065721052113693
MagpieData avg_dev Row,0.019892741336303508
MagpieData avg_dev NValence,0.019790694125960722
MagpieData avg_dev NdValence,0.019466115872644078
MagpieData mean NsUnfilled,0.018478494116843956
MagpieData avg_dev Column,0.018474580539556196
MagpieData avg_dev NpValence,0.018439489805859487
MagpieData mean NUnfilled,0.018395114943660074
MagpieData mean Row,0.018109193845346885
MagpieData mean NpValence,0.01762731208980913
MagpieData avg_dev NpUnfilled,0.016269519193370868
MagpieData mean NdValence,0.01595108117525026
MagpieData mean NsValence,0.015412881457990316
MagpieData mean NpUnfilled,0.014037461074880193
MagpieData maximum GSvolume_pa,0.010172844470607909
MagpieData range AtomicWeight,0.009595955007502389
MagpieData range GSvolume_pa,0.009587071159051401
MagpieData range Number,0.009522385334263691
MagpieData maximum Number,0.008700373161763813
MagpieData range MendeleevNumber,0.008247285875780693
MagpieData range MeltingT,0.008184345198171494
MagpieData maximum AtomicWeight,0.008045649137690658
MagpieData mean GSbandgap,0.007689825457626307
MagpieData maximum MeltingT,0.007369113431862236
MagpieData maximum CovalentRadius,0.007213572123320388
MagpieData minimum MendeleevNumber,0.006966278188707703
MagpieData avg_dev GSbandgap,0.006888997092697386
MagpieData mean NdUnfilled,0.006312102178402976
MagpieData avg_dev NdUnfilled,0.006193055648431501
MagpieData range CovalentRadius,0.00613528977136916
MagpieData minimum Electronegativity,0.005399220904583252
MagpieData range NValence,0.005262115290929793
MagpieData range Electronegativity,0.00481585923618258
MagpieData range SpaceGroupNumber,0.00433510441458535
MagpieData range NUnfilled,0.004297546754631995
MagpieData maximum NUnfilled,0.004259645423141623
MagpieData maximum NdUnfilled,0.004097555847262634
MagpieData avg_dev NfValence,0.00366121613727289
MagpieData minimum NValence,0.003630092808389652
MagpieData maximum Row,0.0035562256441333674
MagpieData minimum Column,0.003378485557581171
MagpieData range Column,0.003343069670678033
MagpieData range NdUnfilled,0.0031309997280325615
MagpieData mode Electronegativity,0.0029849489963521252
MagpieData mode Column,0.002949141592134322
MagpieData mean NfValence,0.002907990026762056
MagpieData maximum NValence,0.00283529147974092
MagpieData maximum NpUnfilled,0.0026965935881182617
MagpieData avg_dev GSmagmom,0.0026647888833660326
MagpieData mean GSmagmom,0.0026199022101826065
MagpieData maximum GSbandgap,0.00252787425965582
MagpieData minimum Number,0.002518214160358913
MagpieData range GSbandgap,0.0025087315806576406
MagpieData mode MendeleevNumber,0.0021961492541784982
MagpieData mode AtomicWeight,0.002151320060661682
MagpieData range NpUnfilled,0.0020738293236862047
MagpieData range Row,0.0019826867916322316
MagpieData avg_dev NfUnfilled,0.0018108639808364182
MagpieData minimum SpaceGroupNumber,0.001805357947137959
MagpieData minimum NUnfilled,0.001680897295009192
MagpieData mode Number,0.0015440037296701986
MagpieData maximum MendeleevNumber,0.0015281653236427538
MagpieData maximum SpaceGroupNumber,0.0014433286467843498
MagpieData maximum NfValence,0.0014193944413227939
MagpieData maximum GSmagmom,0.0014178790951740222
MagpieData range NfUnfilled,0.0013912566931392303
MagpieData mode CovalentRadius,0.001280025745441655
MagpieData mean NfUnfilled,0.0012715739146199221
MagpieData mode NValence,0.0012388051444252222
MagpieData mode GSvolume_pa,0.001205129781559395
MagpieData minimum AtomicWeight,0.0011058288258759858
MagpieData mode MeltingT,0.001060162476893664
MagpieData mode SpaceGroupNumber,0.0010591703016946464
MagpieData mode NsValence,0.0008809940106361889
MagpieData mode NpValence,0.000870502876007655
MagpieData mode NpUnfilled,0.0008639800459713306
MagpieData maximum NpValence,0.0008453826523852224
MagpieData maximum NfUnfilled,0.0007715447214902598
MagpieData mode NUnfilled,0.0007156476188071387
MagpieData range NpValence,0.0006986328055190004
MagpieData mode Row,0.0006980808311139533
MagpieData range GSmagmom,0.0006527172277009587
MagpieData maximum Column,0.0006470263420932313
MagpieData maximum Electronegativity,0.0005826994183569939
MagpieData range NfValence,0.0005440401314389911
MagpieData mode NsUnfilled,0.0004888024858983891
MagpieData minimum NsValence,0.0003271847638244282
MagpieData mode GSbandgap,0.0002446262399621975
MagpieData minimum GSvolume_pa,0.0002150019726090901
MagpieData mode NdValence,0.00021157752044937
MagpieData minimum CovalentRadius,0.00021099643560938027
MagpieData minimum MeltingT,0.00015689738344022128
MagpieData minimum Row,8.240796831262797e-05
MagpieData range NsValence,5.925766312032052e-05
MagpieData mode NdUnfilled,7.191769987558078e-06
MagpieData mode GSmagmom,2.6318909356084255e-06
MagpieData minimum NfValence,0.0
MagpieData minimum NdValence,0.0
MagpieData maximum NdValence,0.0
MagpieData range NdValence,0.0
MagpieData minimum NpValence,0.0
MagpieData maximum NsValence,0.0
MagpieData maximum NsUnfilled,0.0
MagpieData minimum NsUnfilled,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData minimum NdUnfilled,0.0
MagpieData minimum NpUnfilled,0.0
MagpieData range NsUnfilled,0.0
MagpieData mode NfValence,0.0
MagpieData mode NfUnfilled,0.0
MagpieData minimum GSbandgap,0.0
MagpieData minimum GSmagmom,0.0
